,Text,Scope,Pred_Scope,Result
0,The history of cloud services for AI development,1,1.0,Pass
1,Introduction to database management for beginners,1,1.0,Pass
2,Understanding Excel functions for automation,0,0.0,Pass
3,How to manage Data analysis for automation,0,0.0,Pass
4,Concept of Python programming for AI development,1,1.0,Pass
5,The evolution of database management for data processing,1,1.0,Pass
6,Best practices for Python programming in business,0,0.0,Pass
7,How to manage cloud services for AI development,0,0.0,Pass
8,Overview of cloud services in practice,1,1.0,Pass
9,Exploring database management in business,1,1.0,Pass
10,Concept of database management for AI development,1,1.0,Pass
11,What is Python programming for beginners,1,1.0,Pass
12,Overview of SQL queries for AI development,1,1.0,Pass
13,Concept of SQL queries in finance,1,1.0,Pass
14,What is database management for data processing,1,1.0,Pass
15,The history of Machine learning models in business,1,1.0,Pass
16,Mastering Data analysis for reporting,0,0.0,Pass
17,Introduction to web development for beginners,1,1.0,Pass
18,Steps to optimize cloud services for AI development,0,0.0,Pass
19,What is cloud services for beginners,1,1.0,Pass
20,Steps to optimize web development for automation,0,0.0,Pass
21,The evolution of web development for AI development,1,1.0,Pass
22,Mastering Excel functions in finance,0,0.0,Pass
23,Background on cloud services for AI development,1,1.0,Pass
24,The history of cloud services for AI development,1,1.0,Pass
25,Best practices for web development for beginners,0,0.0,Pass
26,Best practices for database management for reporting,0,0.0,Pass
27,Steps to optimize SQL queries in finance,0,0.0,Pass
28,What is SQL queries in finance,1,1.0,Pass
29,Concept of web development for AI development,1,1.0,Pass
30,Understanding Excel functions in business,0,0.0,Pass
31,The evolution of Python programming for automation,1,1.0,Pass
32,Tutorial on database management for AI development,0,0.0,Pass
33,Tutorial on Machine learning models for automation,0,0.0,Pass
34,Best practices for web development for reporting,0,0.0,Pass
35,The evolution of Machine learning models in business,1,1.0,Pass
36,Tutorial on Machine learning models for data processing,0,0.0,Pass
37,Setting up Machine learning models for beginners,0,0.0,Pass
38,Mastering web development for data processing,0,0.0,Pass
39,Introduction to SQL queries for beginners,1,1.0,Pass
40,Tutorial on cloud services for automation,0,0.0,Pass
41,Tutorial on Excel functions for data processing,0,0.0,Pass
42,Understanding cloud services for data processing,0,0.0,Pass
43,What is Machine learning models for reporting,1,1.0,Pass
44,Introduction to Python programming in finance,1,1.0,Pass
45,Setting up Machine learning models for AI development,0,0.0,Pass
46,How to manage web development for reporting,0,0.0,Pass
47,Concept of Data analysis in finance,1,1.0,Pass
48,Concept of cloud services for data processing,1,1.0,Pass
49,Setting up database management for AI development,0,0.0,Pass
50,Concept of Data analysis for beginners,1,1.0,Pass
51,Mastering Python programming for automation,0,0.0,Pass
52,The history of cloud services for automation,1,1.0,Pass
53,What is Machine learning models in business,1,1.0,Pass
54,The evolution of SQL queries in business,1,1.0,Pass
55,Exploring database management for automation,1,1.0,Pass
56,Tutorial on cloud services for data processing,0,0.0,Pass
57,What is SQL queries for reporting,1,1.0,Pass
58,Best practices for Machine learning models in finance,0,0.0,Pass
59,Setting up database management for data processing,0,0.0,Pass
60,Exploring Excel functions for reporting,1,1.0,Pass
61,Mastering Data analysis for beginners,0,0.0,Pass
62,Steps to optimize database management for AI development,0,0.0,Pass
63,Mastering Machine learning models in practice,0,0.0,Pass
64,Setting up Python programming for AI development,0,0.0,Pass
65,Best practices for SQL queries for automation,0,0.0,Pass
66,Concept of SQL queries for beginners,1,1.0,Pass
67,What is Machine learning models in finance,1,1.0,Pass
68,Guide to using Data analysis for AI development,0,0.0,Pass
69,Understanding SQL queries in practice,0,0.0,Pass
70,Concept of Machine learning models for data processing,1,1.0,Pass
